groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
1540,HGSS Trainer Kit: Gyarados & Raichu,PR,False,2010-05-12T00:00:00,2022-11-17T20:52:50.753,3
1399,Unleashed,UL,False,2010-05-12T00:00:00,2023-08-09T16:46:07.63,3
1402,HeartGold SoulSilver,HS,False,2010-02-10T00:00:00,2023-08-27T13:05:12.293,3
1453,HGSS Promos,PR,False,2010-02-01T00:00:00,2023-07-06T12:31:12.393,3
1433,Rumble,RUM,False,2009-11-16T00:00:00,2022-11-17T21:25:24.627,3
1391,Arceus,AR,False,2009-11-04T00:00:00,2023-11-08T19:11:03.003,3
1384,Supreme Victors,SV,False,2009-08-19T00:00:00,2023-09-22T14:13:13.373,3
1367,Rising Rivals,RR,False,2009-05-16T00:00:00,2023-11-07T22:06:24.817,3
2175,Burger King Promos,BKP,True,2009-04-03T00:00:00,2023-06-30T21:24:33.52,3
1406,Platinum,PL,False,2009-02-11T00:00:00,2023-11-07T21:42:35.17,3
1369,Stormfront,SF,False,2008-11-05T00:00:00,2023-11-07T21:16:59.72,3
2155,Countdown Calendar Promos,CCP,True,2008-10-01T00:00:00,2022-09-21T19:48:30.323,3
1417,Legends Awakened,LA,False,2008-08-20T00:00:00,2023-11-07T20:49:52.647,3
1390,Majestic Dawn,MD,False,2008-05-21T00:00:00,2023-09-25T20:15:51.677,3
1405,Great Encounters,GE,False,2008-02-13T00:00:00,2023-11-06T14:48:43.093,3
1380,Secret Wonders,SW,False,2007-11-07T00:00:00,2023-10-28T16:17:17.627,3
609,DP Training Kit 1 Blue,PR,False,2007-09-24T00:00:00,2023-02-16T15:35:27.873,3
610,DP Training Kit 1 Gold,PR,False,2007-09-24T00:00:00,2023-02-16T15:42:26.723,3
1541,DP Trainer Kit: Manaphy & Lucario,PR,False,2007-09-03T00:00:00,2021-03-05T12:37:26.653,3
1368,Mysterious Treasures,MT,False,2007-08-22T00:00:00,2023-11-08T19:11:03.917,3
1430,Diamond and Pearl,DP,False,2007-05-23T00:00:00,2023-10-25T08:05:00.823,3
1421,Diamond and Pearl Promos,PR,False,2007-05-01T00:00:00,2023-09-19T16:40:40.38,3
1383,Power Keepers,PK,False,2007-02-01T00:00:00,2023-11-09T17:00:06.92,3
1411,Dragon Frontiers,DF,False,2006-11-08T00:00:00,2023-10-27T07:37:35.417,3
1395,Crystal Guardians,CG,False,2006-08-30T00:00:00,2023-11-06T21:14:16.227,3
1379,Holon Phantoms,HP,False,2006-05-03T00:00:00,2023-09-13T08:28:03.547,3
1378,Legend Maker,LM,False,2006-02-13T00:00:00,2023-08-20T09:03:40.207,3
1429,Delta Species,DS,False,2005-10-31T00:00:00,2023-11-10T17:58:22.103,3
1398,Unseen Forces,UF,False,2005-08-22T00:00:00,2023-08-19T14:57:26.593,3
1410,Emerald,EM,False,2005-05-09T00:00:00,2023-08-17T14:14:57.81,3
1404,Deoxys,DX,False,2005-02-14T00:00:00,2023-05-21T11:41:29.49,3
1428,Team Rocket Returns,RR,False,2004-11-01T00:00:00,2023-09-19T18:09:03.443,3
1853,EX Battle Stadium,BST,False,2004-10-18T00:00:00,2023-02-08T20:38:39.96,3
1419,FireRed & LeafGreen,RG,False,2004-08-30T00:00:00,2023-09-25T15:41:07.417,3
2214,Kids WB Promos,KWBP,False,2004-07-02T00:00:00,2022-09-26T18:33:37.613,3
1416,Hidden Legends,HL,False,2004-06-14T00:00:00,2023-08-06T07:29:47.17,3
1377,Team Magma vs Team Aqua,MA,False,2004-03-15T00:00:00,2023-08-18T15:22:03.15,3
1376,Dragon,DR,False,2003-11-24T00:00:00,2023-04-20T13:36:26.417,3
1392,Sandstorm,SS,False,2003-09-18T00:00:00,2023-10-18T12:20:32.583,3
1393,Ruby and Sapphire,RS,False,2003-06-18T00:00:00,2023-09-07T04:38:39.317,3
1372,Skyridge,SK,False,2003-05-12T00:00:00,2022-12-05T18:20:12.393,3
1397,Aquapolis,AQ,False,2003-01-15T00:00:00,2023-06-30T12:46:16.483,3
1455,Best of Promos,PR,False,2002-12-01T00:00:00,2023-10-14T07:17:22.55,3
